STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,4/30/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",64,",,0",41,",,0",51,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/1/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",67,",,0",50,",,0",51,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/2/00,,,,,,,0.28,",,0",0,"P,,0",0,"P,,0",68,",,0",40,",,0",60,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/3/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",71,",,0",46,",,0",54,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/4/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",78,",,0",54,",,0",61,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/5/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",80,",,0",61,",,0",68,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/6/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",82,",,0",62,",,0",73,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/7/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",88,",,0",64,",,0",68,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/8/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",81,",,0",67,",,0",69,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/9/00,,,,,,,1.23,",,0",0,"P,,0",0,"P,,0",88,",,0",54,",,0",56,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/10/00,,,,,,,1.19,",,0",0,"P,,0",0,"P,,0",62,",,0",45,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/11/00,,,,,,,0.02,",,0",0,"P,,0",0,"P,,0",67,",,0",50,",,0",63,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/12/00,,,,,,,0.35,",,0",0,"P,,0",0,"P,,0",76,",,0",60,",,0",67,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/13/00,,,,,,,0.25,",,0",0,"P,,0",0,"P,,0",79,",,0",50,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/14/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",57,",,0",40,",,0",54,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/15/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",60,",,0",40,",,0",50,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/16/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",65,",,0",49,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/17/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",61,",,0",48,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/18/00,,,,,,,2.91,",,0",0,"P,,0",0,"P,,0",70,",,0",49,",,0",55,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/19/00,,,,,,,1.35,",,0",0,"P,,0",0,"P,,0",58,",,0",42,",,0",42,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/20/00,,,,,,,0.01,",,0",0,"P,,0",0,"P,,0",56,",,0",41,",,0",46,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/21/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",66,",,0",46,",,0",52,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/22/00,,,,,,,0,"T,,0",0,"P,,0",0,"P,,0",68,",,0",52,",,0",56,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/23/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",64,",,0",47,",,0",51,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/24/00,,,,,,,0.11,",,0",0,"P,,0",0,"P,,0",75,",,0",35,",,0",60,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/25/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",76,",,0",49,",,0",56,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/26/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",69,",,0",46,",,0",55,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/27/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",75,",,0",56,",,0",56,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/28/00,,,,,,,1.6,",,0",0,"P,,0",0,"P,,0",61,",,0",49,",,0",51,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/29/00,,,,,,,0.08,",,0",0,"P,,0",0,"P,,0",64,",,0",46,",,0",49,",,0",,,,,,,,,,,,,,
USC00203858,"HOLLAND, MI US",42.7988,-86.205,188.1,5/30/00,,,,,,,0,"P,,0",0,"P,,0",0,"P,,0",65,",,0",48,",,0",51,",I,0",,,,,,,,,,,,,,
